timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-02-10T00:00:00.000Z";"2025-02-10T23:59:59.999Z";"2025-02-10T14:09:00.000Z";"2025-02-10T02:38:00.000Z";"2781";0.477308965;0.5014159847;0.4648047077;0.476998804;254989824.03;1492111883.78;"2025-02-10T23:59:59.999Z"
"2025-02-09T00:00:00.000Z";"2025-02-09T23:59:59.999Z";"2025-02-09T04:01:00.000Z";"2025-02-09T22:07:00.000Z";"2781";0.5231032255;0.5362128718;0.4599601675;0.477308965;196736451.16;1493082106.15;"2025-02-09T23:59:59.999Z"
"2025-02-08T00:00:00.000Z";"2025-02-08T23:59:59.999Z";"2025-02-08T19:41:00.000Z";"2025-02-08T05:07:00.000Z";"2781";0.4943397069;0.532490856;0.4784509766;0.5231199381;225714041.76;1636332277.43;"2025-02-08T23:59:59.999Z"
"2025-02-07T00:00:00.000Z";"2025-02-07T23:59:59.999Z";"2025-02-07T13:52:00.000Z";"2025-02-07T00:01:00.000Z";"2781";0.472902569;0.5479028829;0.4728575504;0.4943397069;418290601.23;1546356395.51;"2025-02-07T23:59:59.999Z"
"2025-02-06T00:00:00.000Z";"2025-02-06T23:59:59.999Z";"2025-02-06T06:58:00.000Z";"2025-02-06T23:43:00.000Z";"2781";0.5490698177;0.559453815;0.4673044859;0.4730195197;325887344.66;1479664185.22;"2025-02-06T23:59:59.999Z"
"2025-02-05T00:00:00.000Z";"2025-02-05T23:59:59.999Z";"2025-02-05T01:07:00.000Z";"2025-02-05T22:40:00.000Z";"2781";0.6084477662;0.610819683;0.5432081982;0.5490698177;289611231.33;1717559023.37;"2025-02-05T23:59:59.999Z"
"2025-02-04T00:00:00.000Z";"2025-02-04T23:59:59.999Z";"2025-02-04T00:08:00.000Z";"2025-02-04T22:01:00.000Z";"2781";0.6796316722;0.6854708864;0.5910385298;0.6084477662;452075815.05;1903300668.8;"2025-02-04T23:59:59.999Z"
"2025-02-03T00:00:00.000Z";"2025-02-03T23:59:59.999Z";"2025-02-03T22:58:00.000Z";"2025-02-03T02:10:00.000Z";"2781";0.5811818764;0.6976460187;0.492793866;0.6796316722;996384155.85;2125972824.62;"2025-02-03T23:59:59.999Z"
"2025-02-02T00:00:00.000Z";"2025-02-02T23:59:59.999Z";"2025-02-02T01:11:00.000Z";"2025-02-02T23:29:00.000Z";"2781";0.6766040535;0.6928791968;0.5535172589;0.5811818764;443127399.57;1818009557.18;"2025-02-02T23:59:59.999Z"
"2025-02-01T00:00:00.000Z";"2025-02-01T23:59:59.999Z";"2025-02-01T02:25:00.000Z";"2025-02-01T23:28:00.000Z";"2781";0.7635901849;0.7874098902;0.6712675487;0.6766040535;261770947.97;2052013231.09;"2025-02-01T23:59:59.999Z"
"2025-01-31T00:00:00.000Z";"2025-01-31T23:59:59.999Z";"2025-01-31T12:28:00.000Z";"2025-01-31T05:00:00.000Z";"2781";0.7589678864;0.8181632522;0.7277237631;0.7635957411;420144914.55;2315842708.59;"2025-01-31T23:59:59.999Z"
"2025-01-30T00:00:00.000Z";"2025-01-30T23:59:59.999Z";"2025-01-30T15:19:00.000Z";"2025-01-30T00:10:00.000Z";"2781";0.6813898053;0.7956869641;0.6781705423;0.7589763137;414287607.08;2301765907.63;"2025-01-30T23:59:59.999Z"
"2025-01-29T00:00:00.000Z";"2025-01-29T23:59:59.999Z";"2025-01-29T20:34:00.000Z";"2025-01-29T00:52:00.000Z";"2781";0.6588128986;0.7383016458;0.6547997968;0.6813645336;362727183.57;2066450874.45;"2025-01-29T23:59:59.999Z"
"2025-01-28T00:00:00.000Z";"2025-01-28T23:59:59.999Z";"2025-01-28T04:40:00.000Z";"2025-01-28T23:39:00.000Z";"2781";0.7498509222;0.7697242866;0.6538692297;0.6588128986;255155673.27;1998055994.11;"2025-01-28T23:59:59.999Z"
"2025-01-27T00:00:00.000Z";"2025-01-27T23:59:59.999Z";"2025-01-27T00:10:00.000Z";"2025-01-27T11:01:00.000Z";"2781";0.7792831555;0.7836273888;0.7019458207;0.7498104799;497558518.91;2274157249.97;"2025-01-27T23:59:59.999Z"
"2025-01-26T00:00:00.000Z";"2025-01-26T23:59:59.999Z";"2025-01-26T04:53:00.000Z";"2025-01-26T23:37:00.000Z";"2781";0.8557090724;0.8770768087;0.7767352154;0.7792831555;311509268.06;2363419695.13;"2025-01-26T23:59:59.999Z"
"2025-01-25T00:00:00.000Z";"2025-01-25T23:59:59.999Z";"2025-01-25T15:26:00.000Z";"2025-01-25T00:57:00.000Z";"2781";0.8441347831;0.8761215298;0.8271715101;0.8556865941;300350658.12;2595136998.74;"2025-01-25T23:59:59.999Z"
"2025-01-24T00:00:00.000Z";"2025-01-24T23:59:59.999Z";"2025-01-24T07:07:00.000Z";"2025-01-24T02:58:00.000Z";"2781";0.850199975;0.9228832926;0.811315886;0.8441342068;629129957.88;2560100773.98;"2025-01-24T23:59:59.999Z"
"2025-01-23T00:00:00.000Z";"2025-01-23T23:59:59.999Z";"2025-01-23T16:18:00.000Z";"2025-01-23T21:22:00.000Z";"2781";0.8538869206;0.8666111747;0.8048550491;0.850199975;528332120.52;2578545552.55;"2025-01-23T23:59:59.999Z"
"2025-01-22T00:00:00.000Z";"2025-01-22T23:59:59.999Z";"2025-01-22T02:52:00.000Z";"2025-01-22T23:11:00.000Z";"2781";0.9345424032;0.9686168673;0.8420973954;0.8538903721;474824775.79;2589671324.06;"2025-01-22T23:59:59.999Z"
"2025-01-21T00:00:00.000Z";"2025-01-21T23:59:59.999Z";"2025-01-21T18:49:00.000Z";"2025-01-21T02:47:00.000Z";"2781";0.8790334326;0.9590010453;0.834492568;0.9345424032;801409325.85;2834291882.14;"2025-01-21T23:59:59.999Z"
"2025-01-20T00:00:00.000Z";"2025-01-20T23:59:59.999Z";"2025-01-20T17:04:00.000Z";"2025-01-20T01:53:00.000Z";"2781";0.8466288032;0.9657101399;0.8031994897;0.8790708673;1359311705.19;2666057114.85;"2025-01-20T23:59:59.999Z"
"2025-01-19T00:00:00.000Z";"2025-01-19T23:59:59.999Z";"2025-01-19T20:14:00.000Z";"2025-01-19T11:57:00.000Z";"2781";0.8814390619;0.9465911457;0.8157987693;0.8466288032;1044194452.66;2567666417.12;"2025-01-19T23:59:59.999Z"
"2025-01-18T00:00:00.000Z";"2025-01-18T23:59:59.999Z";"2025-01-18T00:55:00.000Z";"2025-01-18T18:22:00.000Z";"2781";0.9691584003;0.9917935698;0.8504885639;0.8814390619;679431192.98;2673239404.83;"2025-01-18T23:59:59.999Z"
"2025-01-17T00:00:00.000Z";"2025-01-17T23:59:59.999Z";"2025-01-17T22:59:00.000Z";"2025-01-17T00:11:00.000Z";"2781";0.9139422856;0.9876158149;0.9121540261;0.9876158149;515800926.22;2995268122.26;"2025-01-17T23:59:59.999Z"
"2025-01-16T00:00:00.000Z";"2025-01-16T23:59:59.999Z";"2025-01-16T12:56:00.000Z";"2025-01-16T08:54:00.000Z";"2781";0.9439337908;0.9530644891;0.8779136167;0.9139422856;542214873.06;2771815588.17;"2025-01-16T23:59:59.999Z"
"2025-01-15T00:00:00.000Z";"2025-01-15T23:59:59.999Z";"2025-01-15T23:07:00.000Z";"2025-01-15T11:35:00.000Z";"2781";0.8293737613;0.9698174449;0.7758331689;0.9438764972;683506731.33;2862774199.84;"2025-01-15T23:59:59.999Z"
"2025-01-14T00:00:00.000Z";"2025-01-14T23:59:59.999Z";"2025-01-14T14:44:00.000Z";"2025-01-14T01:56:00.000Z";"2781";0.7986410293;0.8532228884;0.7888030291;0.8293737613;447341970.48;2515335110.37;"2025-01-14T23:59:59.999Z"
"2025-01-13T00:00:00.000Z";"2025-01-13T23:59:59.999Z";"2025-01-13T00:53:00.000Z";"2025-01-13T18:32:00.000Z";"2781";0.8780252011;0.9148768148;0.7279335684;0.7986430864;711846740.15;2422134735.49;"2025-01-13T23:59:59.999Z"
"2025-01-12T00:00:00.000Z";"2025-01-12T23:59:59.999Z";"2025-01-12T11:59:00.000Z";"2025-01-12T22:31:00.000Z";"2781";0.906673208;0.9182912561;0.8669991493;0.8780163621;311119737.79;2662858998.3;"2025-01-12T23:59:59.999Z"
"2025-01-11T00:00:00.000Z";"2025-01-11T23:59:59.999Z";"2025-01-11T21:26:00.000Z";"2025-01-11T09:01:00.000Z";"2781";0.9112848854;0.9355727497;0.8759398569;0.906673208;385607377.48;2749769838.5;"2025-01-11T23:59:59.999Z"
"2025-01-10T00:00:00.000Z";"2025-01-10T23:59:59.999Z";"2025-01-10T09:37:00.000Z";"2025-01-10T15:15:00.000Z";"2781";0.9014427666;0.9692937716;0.8758980424;0.9112848854;579707518.81;2763756191.44;"2025-01-10T23:59:59.999Z"
"2025-01-09T00:00:00.000Z";"2025-01-09T23:59:59.999Z";"2025-01-09T01:25:00.000Z";"2025-01-09T14:07:00.000Z";"2781";0.9749410493;0.988257147;0.8638792471;0.9014458479;610012637.58;2733916235.67;"2025-01-09T23:59:59.999Z"
"2025-01-08T00:00:00.000Z";"2025-01-08T23:59:59.999Z";"2025-01-08T00:44:00.000Z";"2025-01-08T17:32:00.000Z";"2781";1.0358618226;1.0519220095;0.9060549853;0.9749410493;597651195.64;2956813401.06;"2025-01-08T23:59:59.999Z"
"2025-01-07T00:00:00.000Z";"2025-01-07T23:59:59.999Z";"2025-01-07T00:37:00.000Z";"2025-01-07T23:59:00.000Z";"2781";1.1734213442;1.1824723629;1.0358618226;1.0358618226;593314298.14;3141574683.72;"2025-01-07T23:59:59.999Z"
