timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-02-10T00:00:00.000Z";"2025-02-10T23:59:59.999Z";"2025-02-10T13:58:00.000Z";"2025-02-10T02:16:00.000Z";"2781";8.9492278138;9.2855836458;8.5587463943;8.9209702705;41541300.34;585683697.37;"2025-02-10T23:59:59.999Z"
"2025-02-09T00:00:00.000Z";"2025-02-09T23:59:59.999Z";"2025-02-09T01:34:00.000Z";"2025-02-09T22:07:00.000Z";"2781";9.9045056609;9.9323609046;8.4912963186;8.9492278138;46318773.63;587538874.78;"2025-02-09T23:59:59.999Z"
"2025-02-08T00:00:00.000Z";"2025-02-08T23:59:59.999Z";"2025-02-08T23:43:00.000Z";"2025-02-08T00:07:00.000Z";"2781";8.9552113961;9.959997989;8.9259363346;9.9045056609;37121348.49;650255221.16;"2025-02-08T23:59:59.999Z"
"2025-02-07T00:00:00.000Z";"2025-02-07T23:59:59.999Z";"2025-02-07T14:52:00.000Z";"2025-02-07T22:56:00.000Z";"2781";9.5489469734;10.1227817601;8.7647589324;8.9552113961;60020379.47;587931711.71;"2025-02-07T23:59:59.999Z"
"2025-02-06T00:00:00.000Z";"2025-02-06T23:59:59.999Z";"2025-02-06T06:59:00.000Z";"2025-02-06T23:43:00.000Z";"2781";10.1872134232;10.338763352;9.4813319203;9.5489469734;44799601.04;626911916.51;"2025-02-06T23:59:59.999Z"
"2025-02-05T00:00:00.000Z";"2025-02-05T23:59:59.999Z";"2025-02-05T12:31:00.000Z";"2025-02-05T22:40:00.000Z";"2781";10.3935101345;11.037102096;10.019255321;10.1872134232;54700903.5;668815682.9;"2025-02-05T23:59:59.999Z"
"2025-02-04T00:00:00.000Z";"2025-02-04T23:59:59.999Z";"2025-02-04T00:07:00.000Z";"2025-02-04T22:13:00.000Z";"2781";11.7317639617;11.7894326523;9.9803543054;10.3935101345;81268110.41;682359570.73;"2025-02-04T23:59:59.999Z"
"2025-02-03T00:00:00.000Z";"2025-02-03T23:59:59.999Z";"2025-02-03T00:01:00.000Z";"2025-02-03T02:12:00.000Z";"2781";12.4837425601;12.4874518146;9.0680829474;11.7317639617;180765317.94;770219234.62;"2025-02-03T23:59:59.999Z"
"2025-02-02T00:00:00.000Z";"2025-02-02T23:59:59.999Z";"2025-02-02T00:49:00.000Z";"2025-02-02T23:28:00.000Z";"2781";13.9277127233;14.3011513429;12.0923104433;12.4837425601;79038447.08;819588483.99;"2025-02-02T23:59:59.999Z"
"2025-02-01T00:00:00.000Z";"2025-02-01T23:59:59.999Z";"2025-02-01T01:43:00.000Z";"2025-02-01T23:28:00.000Z";"2781";15.8065774177;16.0877871799;13.7762242647;13.9277127233;45434921.64;914388686.03;"2025-02-01T23:59:59.999Z"
